,Cities,Country,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Longitude,Latitude,Date
0,Geraldton,CA,32.0,32.0,32.0,86,75,4.7,-86.95,49.72,2019-10-03 02:53:27
1,Codrington,AU,77.45,71.6,80.6,32,0,3.36,153.24,-28.95,2019-10-03 03:00:26
2,Port Elizabeth,US,77.65,73.99,81.0,73,75,5.44,-74.98,39.31,2019-10-03 02:54:09
3,Saint George,GR,58.87,57.2,60.8,77,20,5.82,22.34,39.45,2019-10-03 02:54:11
4,Cuilco,GT,57.69,57.69,57.69,92,95,3.24,-91.95,15.41,2019-10-03 03:00:30
5,Ancud,CL,33.8,33.8,33.8,75,0,6.93,-73.83,-41.87,2019-10-03 02:53:44
6,Busselton,AU,75.0,75.0,75.0,38,100,15.32,115.35,-33.64,2019-10-03 02:53:39
7,Rikitea,PF,64.39,64.39,64.39,76,90,9.8,-134.97,-23.12,2019-10-03 02:52:12
8,Tasiilaq,GL,41.0,41.0,41.0,60,100,31.09,-37.64,65.61,2019-10-03 02:54:15
9,Meadow Lake,CA,34.65,34.65,34.65,87,0,4.23,-108.44,54.13,2019-10-03 02:55:18
10,Sheridan,US,49.57,46.0,54.0,71,1,12.75,-105.03,39.65,2019-10-03 02:59:22
11,Severo-Kurilsk,RU,48.01,48.01,48.01,96,100,14.41,156.12,50.68,2019-10-03 02:54:14
12,Vorukh,KG,53.1,53.1,53.1,62,0,2.04,70.57,39.85,2019-10-03 03:00:39
13,Cape Town,ZA,57.02,53.01,60.01,77,20,3.36,18.42,-33.93,2019-10-03 02:52:47
14,Isangel,VU,80.6,80.6,80.6,54,75,13.87,169.27,-19.55,2019-10-03 02:53:47
15,Mataura,NZ,48.0,48.0,48.0,88,86,8.99,168.86,-46.19,2019-10-03 02:51:01
16,Ushuaia,AR,41.0,41.0,41.0,65,40,31.09,-68.31,-54.81,2019-10-03 02:53:18
17,Olinda,AU,82.06,78.01,86.0,21,0,14.99,145.39,-37.84,2019-10-03 03:00:06
18,Berlevag,NO,37.77,37.77,37.77,78,100,17.52,29.09,70.86,2019-10-03 02:53:16
19,Kavieng,PG,83.06,83.06,83.06,69,41,1.16,150.8,-2.57,2019-10-03 02:54:29
20,Avarua,CK,77.0,77.0,77.0,57,33,8.05,-159.78,-21.21,2019-10-03 02:53:26
21,Hithadhoo,MV,82.35,82.35,82.35,80,95,16.51,73.08,-0.6,2019-10-03 02:50:41
22,Beloha,MG,69.97,69.97,69.97,82,100,10.89,45.06,-25.17,2019-10-03 02:55:34
23,San Antonio,CL,42.8,42.8,42.8,87,0,4.7,-71.61,-33.58,2019-10-03 02:56:24
24,Tiksi,RU,24.57,24.57,24.57,87,100,27.38,128.87,71.64,2019-10-03 02:54:10
25,Nikolskoye,RU,41.34,41.0,42.01,93,90,6.71,30.79,59.7,2019-10-03 02:53:10
26,Khatanga,RU,23.82,23.82,23.82,68,0,8.46,102.47,71.98,2019-10-03 02:54:30
27,Galbshtadt,RU,44.34,44.34,44.34,58,11,4.92,78.98,53.23,2019-10-03 03:00:55
28,Dikson,RU,26.52,26.52,26.52,70,100,24.36,80.55,73.51,2019-10-03 02:52:51
29,Mirnyy,RU,50.37,50.37,50.37,96,100,8.23,36.46,56.57,2019-10-03 03:00:58
30,Bundaberg,AU,78.01,77.0,79.0,44,0,12.75,152.35,-24.87,2019-10-03 02:56:28
31,Westport,US,66.85,62.01,71.6,93,90,17.22,-73.36,41.14,2019-10-03 03:01:00
32,Butaritari,KI,84.87,84.87,84.87,59,100,2.44,172.79,3.07,2019-10-03 02:53:28
33,Jamestown,AU,83.45,83.45,83.45,19,12,1.45,138.6,-33.21,2019-10-03 02:49:58
34,Bredasdorp,ZA,51.8,51.8,51.8,87,36,5.82,20.04,-34.53,2019-10-03 02:52:25
35,Dubbo,AU,84.2,84.2,84.2,16,0,8.05,148.6,-32.25,2019-10-03 02:54:27
36,Taoudenni,ML,86.84,86.84,86.84,11,0,3.89,-3.98,22.68,2019-10-03 02:53:20
37,Jefferson City,US,77.49,75.2,79.0,83,1,6.93,-92.17,38.58,2019-10-03 03:00:09
38,Provideniya,RU,39.2,39.2,39.2,80,75,17.9,-173.23,64.42,2019-10-03 02:52:41
39,Hamilton,CA,52.29,48.99,55.0,87,90,13.87,-79.87,43.26,2019-10-03 02:50:42
40,Pimentel,BR,73.37,73.37,73.37,88,0,2.86,-45.5,-3.7,2019-10-03 02:53:39
41,Georgetown,GY,77.0,77.0,77.0,94,0,2.24,-58.16,6.8,2019-10-03 02:53:40
42,Hermanus,ZA,57.0,57.0,57.0,89,0,6.89,19.24,-34.42,2019-10-03 02:53:31
43,Sorland,NO,44.73,44.73,44.73,54,77,13.35,12.69,67.67,2019-10-03 02:54:07
44,Srednekolymsk,RU,29.04,29.04,29.04,88,100,21.07,153.71,67.46,2019-10-03 02:53:49
45,Punta Arenas,CL,41.0,41.0,41.0,77,0,29.97,-70.91,-53.16,2019-10-03 02:53:13
46,East London,ZA,66.41,66.41,66.41,26,67,5.28,27.91,-33.02,2019-10-03 02:53:52
47,Bayreuth,DE,41.47,37.4,45.0,93,20,6.93,11.58,49.94,2019-10-03 03:01:18
48,Hovd,NO,40.87,37.99,43.0,93,90,6.93,10.7,63.83,2019-10-03 02:54:52
49,Albany,US,49.82,45.0,54.0,71,90,8.05,-73.75,42.65,2019-10-03 02:49:48
50,Turka,RU,42.5,42.5,42.5,52,0,10.51,108.22,52.95,2019-10-03 03:01:21
51,Nanortalik,GL,41.48,41.48,41.48,75,100,1.52,-45.24,60.14,2019-10-03 02:52:48
52,La Ronge,CA,41.0,41.0,41.0,81,5,6.93,-105.3,55.1,2019-10-03 02:55:21
53,Pinega,RU,31.9,31.9,31.9,86,0,6.85,43.39,64.7,2019-10-03 03:01:25
54,Henties Bay,NA,57.23,57.23,57.23,93,0,7.87,14.28,-22.12,2019-10-03 02:55:12
55,Sinnamary,GF,81.54,81.54,81.54,82,87,21.21,-52.96,5.38,2019-10-03 03:01:27
56,Bayji,IQ,76.07,76.07,76.07,28,0,4.74,43.49,34.93,2019-10-03 03:01:28
57,Saldanha,PT,55.57,55.57,55.57,62,100,1.3,-6.55,41.42,2019-10-03 02:52:55
58,Yumen,CN,56.54,56.54,56.54,22,93,17.94,97.04,40.29,2019-10-03 02:54:43
59,Hasaki,JP,81.23,78.8,86.0,69,75,9.17,140.83,35.73,2019-10-03 02:53:43
60,Ilulissat,GL,46.4,46.4,46.4,33,0,21.92,-51.1,69.22,2019-10-03 02:53:30
61,Jumla,NP,56.58,56.58,56.58,74,60,1.95,82.18,29.28,2019-10-03 02:55:23
62,Sao Joao de Pirabas,BR,73.84,73.84,73.84,91,0,3.22,-47.18,-0.77,2019-10-03 03:01:35
63,Bluff,AU,80.75,80.75,80.75,29,0,13.24,149.07,-23.58,2019-10-03 02:53:26
64,Poum,MK,51.8,51.8,51.8,87,40,3.36,20.71,41.28,2019-10-03 02:53:23
65,West Bay,CA,54.25,51.01,57.0,81,90,4.7,-123.21,49.34,2019-10-03 02:55:19
66,Kapaa,US,84.18,80.01,87.8,70,40,16.11,-159.32,22.08,2019-10-03 02:53:18
67,Byron Bay,AU,76.51,71.6,80.6,49,0,14.99,153.62,-28.65,2019-10-03 03:01:41
68,Tuktoyaktuk,CA,35.6,35.6,35.6,93,90,12.75,-133.03,69.44,2019-10-03 02:53:25
69,Barrow,AR,36.2,36.2,36.2,78,0,7.31,-60.23,-38.31,2019-10-03 02:53:30
70,Manzanillo,MX,82.4,82.4,82.4,78,75,2.37,-104.32,19.05,2019-10-03 02:57:46
71,Chokurdakh,RU,27.04,27.04,27.04,88,97,12.86,147.9,70.62,2019-10-03 02:53:42
72,Fare,PF,77.22,77.22,77.22,79,1,16.28,-151.02,-16.7,2019-10-03 03:01:46
73,Carnarvon,ZA,49.65,49.65,49.65,31,61,2.46,22.13,-30.97,2019-10-03 02:52:12
74,Morehead,US,75.15,69.8,82.4,64,1,4.45,-83.43,38.18,2019-10-03 03:01:49
75,Chuy,UY,56.88,56.88,56.88,76,97,18.07,-53.46,-33.69,2019-10-03 02:53:44
76,Kutum,SD,73.86,73.86,73.86,52,78,3.04,24.66,14.2,2019-10-03 03:01:51
77,Ahipara,NZ,61.0,61.0,61.0,76,100,15.5,173.16,-35.17,2019-10-03 02:54:38
78,Bloomingdale,US,59.31,57.0,61.0,87,90,8.05,-88.08,41.96,2019-10-03 02:57:34
79,Qaanaaq,GL,21.19,21.19,21.19,71,26,4.09,-69.36,77.48,2019-10-03 02:53:32
80,Yellowknife,CA,48.09,48.0,48.2,66,75,8.05,-114.38,62.45,2019-10-03 02:48:23
81,Hambantota,LK,75.2,75.2,75.2,100,40,2.24,81.12,6.12,2019-10-03 03:01:57
82,Vanino,RU,48.0,48.0,48.0,84,32,1.99,40.55,53.93,2019-10-03 03:01:58
83,Rawson,AR,48.33,48.33,48.33,23,0,7.43,-65.11,-43.3,2019-10-03 02:52:39
84,Dingle,PH,85.61,85.61,85.61,67,89,5.17,122.67,11.0,2019-10-03 02:54:12
85,Urusha,RU,42.0,42.0,42.0,29,0,4.21,122.9,54.05,2019-10-03 03:02:01
86,Bathsheba,BB,82.4,82.4,82.4,74,40,16.11,-59.52,13.22,2019-10-03 02:54:12
87,Faanui,PF,77.78,77.78,77.78,78,9,14.76,-151.75,-16.48,2019-10-03 02:51:43
88,Xai-Xai,MZ,57.93,57.93,57.93,92,0,2.42,33.64,-25.04,2019-10-03 03:02:05
89,Saskylakh,RU,19.39,19.39,19.39,76,4,0.87,114.09,71.97,2019-10-03 02:54:36
90,Tandalti,SD,81.56,81.56,81.56,60,40,5.26,31.87,13.01,2019-10-03 03:02:07
91,Beringovskiy,RU,36.45,36.45,36.45,64,95,3.09,179.32,63.05,2019-10-03 02:52:59
92,Kodiak,US,57.96,55.99,60.8,93,90,6.93,-94.76,39.95,2019-10-03 02:52:31
93,Komsomolskiy,RU,38.61,38.61,38.61,87,100,15.64,63.78,67.55,2019-10-03 02:54:32
94,Avera,US,78.6,75.2,80.6,74,1,4.56,-82.53,33.19,2019-10-03 02:55:08
95,Hobart,AU,76.66,71.01,82.99,31,0,10.29,147.33,-42.88,2019-10-03 02:51:32
96,Lebu,ET,57.2,57.2,57.2,82,75,4.7,38.73,8.96,2019-10-03 02:54:32
97,Necochea,AR,42.01,42.01,42.01,67,0,1.99,-58.74,-38.55,2019-10-03 03:02:15
98,Saint Anthony,US,37.27,30.2,44.6,56,1,5.82,-111.68,43.97,2019-10-03 03:02:17
99,Lipin Bor,RU,37.05,37.05,37.05,98,100,3.38,37.97,60.26,2019-10-03 03:02:18
100,Slave Lake,CA,48.2,48.2,48.2,67,1,10.29,-114.77,55.28,2019-10-03 02:57:27
101,Ushtobe,KZ,50.64,50.64,50.64,58,0,9.37,77.98,45.25,2019-10-03 03:02:20
102,Gorontalo,ID,86.44,86.44,86.44,60,26,8.43,123.06,0.54,2019-10-03 03:02:22
103,Fortuna,US,52.92,51.01,54.0,76,1,8.05,-124.16,40.6,2019-10-03 02:54:07
104,Katsuura,JP,75.65,73.4,78.8,78,75,33.33,134.5,33.93,2019-10-03 02:54:22
105,Nelson Bay,AU,77.77,72.0,84.2,20,0,11.41,152.14,-32.72,2019-10-03 02:53:14
106,Nemuro,JP,66.2,66.2,66.2,82,75,12.75,145.57,43.32,2019-10-03 02:54:23
107,San Jose,HN,73.4,73.4,73.4,88,75,8.05,-87.96,14.25,2019-10-03 02:59:17
108,Livramento,BR,83.34,82.4,84.2,74,20,2.24,-60.18,-3.03,2019-10-03 03:02:28
109,Carmen,PH,88.81,87.8,90.0,66,20,4.7,125.71,7.36,2019-10-03 03:02:30
110,Ostrovnoy,RU,34.1,34.1,34.1,76,93,19.24,39.51,68.05,2019-10-03 02:53:35
111,Mabaruma,GY,73.86,73.86,73.86,95,100,1.63,-59.78,8.2,2019-10-03 02:54:23
112,Bam,IR,63.54,63.54,63.54,26,90,3.38,58.36,29.11,2019-10-03 03:02:33
113,Todos Santos,MX,78.15,75.0,80.01,69,20,6.93,-110.23,23.45,2019-10-03 02:55:11
114,Troitskoye,RU,41.17,41.17,41.17,47,0,4.34,84.68,52.98,2019-10-03 03:02:35
115,Antofagasta,CL,57.2,57.2,57.2,82,90,4.7,-70.4,-23.65,2019-10-03 02:52:48
116,Morristown,US,71.53,66.0,78.01,69,1,1.63,-83.29,36.21,2019-10-03 03:02:38
117,Xiaoweizhai,CN,75.14,75.14,75.14,62,6,8.7,107.51,26.23,2019-10-03 03:02:39
118,New Norfolk,AU,76.64,71.01,82.99,31,0,10.29,147.06,-42.78,2019-10-03 02:53:12
119,Sriperumbudur,IN,86.0,86.0,86.0,79,40,6.93,79.95,12.97,2019-10-03 03:02:41
120,Vaini,IN,73.4,73.4,73.4,88,40,0.65,74.49,15.34,2019-10-03 02:53:19
